plateifu,issue,expected_size_px,band_shapes,stale_bands,missing_bands
10147-3704,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10147-6101,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10147-6102,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10147-6103,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10147-6104,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10147-9101,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10147-9102,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-12701,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-12702,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-12703,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-12704,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-12705,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-1901,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-1902,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-3701,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-3702,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-3703,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-3704,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-6101,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-6102,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-6103,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-6104,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-9101,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10148-9102,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10149-12701,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10149-12702,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10149-12703,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
10149-12704,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
